name,wager,wager_count,player_hands
Andy,LIAR,LIAR,"{'Hal': [1, 4, 6, 4], 'Allice': [4, 6], 'WOPR': [5, 5], 'Andy': [3, 4, 3]}"
Allice,6,1,"{'Hal': [3, 5, 3, 5], 'Allice': [4, 6], 'WOPR': [6, 4], 'Andy': [2, 3, 5]}"
WOPR,6,2,"{'Allice': [4, 6], 'WOPR': [6, 4], 'Andy': [2, 3, 5], 'Hal': [3, 5, 3, 5]}"
Andy,3,3,"{'WOPR': [6, 4], 'Andy': [2, 3, 5], 'Hal': [3, 5, 3, 5], 'Allice': [4, 6]}"
Hal,5,3,"{'Andy': [2, 3, 5], 'Hal': [3, 5, 3, 5], 'Allice': [4, 6], 'WOPR': [6, 4]}"
Allice,6,3,"{'Hal': [3, 5, 3, 5], 'Allice': [4, 6], 'WOPR': [6, 4], 'Andy': [2, 3, 5]}"
WOPR,6,4,"{'Allice': [4, 6], 'WOPR': [6, 4], 'Andy': [2, 3, 5], 'Hal': [3, 5, 3, 5]}"
Andy,LIAR,LIAR,"{'Hal': [3, 5, 3, 5], 'Allice': [4, 6], 'WOPR': [4], 'Andy': [2, 3, 5]}"
Allice,2,1,"{'Hal': [4, 6, 1, 2], 'Allice': [1, 2], 'WOPR': [6], 'Andy': [4, 4, 1]}"
WOPR,6,1,"{'Allice': [1, 2], 'WOPR': [6], 'Andy': [4, 4, 1], 'Hal': [4, 6, 1, 2]}"
Andy,4,2,"{'WOPR': [6], 'Andy': [4, 4, 1], 'Hal': [4, 6, 1, 2], 'Allice': [1, 2]}"
Hal,6,2,"{'Andy': [4, 4, 1], 'Hal': [4, 6, 1, 2], 'Allice': [1, 2], 'WOPR': [6]}"
Allice,2,3,"{'Hal': [4, 6, 1, 2], 'Allice': [1, 2], 'WOPR': [6], 'Andy': [4, 4, 1]}"
WOPR,6,3,"{'Allice': [1, 2], 'WOPR': [6], 'Andy': [4, 4, 1], 'Hal': [4, 6, 1, 2]}"
Andy,4,4,"{'WOPR': [6], 'Andy': [4, 4, 1], 'Hal': [4, 6, 1, 2], 'Allice': [1, 2]}"
Hal,LIAR,LIAR,"{'Allice': [1, 2], 'WOPR': [6], 'Andy': [4, 1], 'Hal': [4, 6, 1, 2]}"
WOPR,3,1,"{'Allice': [3, 4], 'WOPR': [3], 'Andy': [2, 3], 'Hal': [4, 3, 4, 6]}"
Andy,3,2,"{'WOPR': [3], 'Andy': [2, 3], 'Hal': [4, 3, 4, 6], 'Allice': [3, 4]}"
Hal,4,2,"{'Andy': [2, 3], 'Hal': [4, 3, 4, 6], 'Allice': [3, 4], 'WOPR': [3]}"
Allice,4,3,"{'Hal': [4, 3, 4, 6], 'Allice': [3, 4], 'WOPR': [3], 'Andy': [2, 3]}"
WOPR,3,4,"{'Allice': [3, 4], 'WOPR': [3], 'Andy': [2, 3], 'Hal': [4, 3, 4, 6]}"
Andy,LIAR,LIAR,"{'Hal': [4, 3, 4, 6], 'Allice': [3, 4], 'WOPR': [3], 'Andy': [3]}"
Allice,6,1,"{'Hal': [5, 1, 3, 3], 'Allice': [6, 5], 'WOPR': [5], 'Andy': [3]}"
WOPR,5,2,"{'Allice': [6, 5], 'WOPR': [5], 'Andy': [3], 'Hal': [5, 1, 3, 3]}"
Andy,3,3,"{'WOPR': [5], 'Andy': [3], 'Hal': [5, 1, 3, 3], 'Allice': [6, 5]}"
Hal,LIAR,LIAR,"{'Allice': [6, 5], 'WOPR': [5], 'Andy': [3], 'Hal': [1, 3, 3]}"
WOPR,2,1,"{'Allice': [3, 1], 'WOPR': [2], 'Andy': [6], 'Hal': [3, 2, 4]}"
Andy,6,1,"{'WOPR': [2], 'Andy': [6], 'Hal': [3, 2, 4], 'Allice': [3, 1]}"
Hal,3,2,"{'Andy': [6], 'Hal': [3, 2, 4], 'Allice': [3, 1], 'WOPR': [2]}"
Allice,3,3,"{'Hal': [3, 2, 4], 'Allice': [3, 1], 'WOPR': [2], 'Andy': [6]}"
WOPR,LIAR,LIAR,"{'Andy': [6], 'Hal': [3, 2, 4], 'Allice': [1], 'WOPR': [2]}"
Hal,4,1,"{'Andy': [2], 'Hal': [5, 4, 4], 'Allice': [5], 'WOPR': [4]}"
Allice,5,1,"{'Hal': [5, 4, 4], 'Allice': [5], 'WOPR': [4], 'Andy': [2]}"
WOPR,4,2,"{'Allice': [5], 'WOPR': [4], 'Andy': [2], 'Hal': [5, 4, 4]}"
Andy,2,3,"{'WOPR': [4], 'Andy': [2], 'Hal': [5, 4, 4], 'Allice': [5]}"
Hal,4,3,"{'Andy': [2], 'Hal': [5, 4, 4], 'Allice': [5], 'WOPR': [4]}"
Allice,5,3,"{'Hal': [5, 4, 4], 'Allice': [5], 'WOPR': [4], 'Andy': [2]}"
WOPR,LIAR,LIAR,"{'Andy': [2], 'Hal': [5, 4, 4], 'Allice': [], 'WOPR': [4]}"
WOPR,6,1,"{'WOPR': [6], 'Andy': [5], 'Hal': [2, 5, 1]}"
Andy,5,2,"{'Andy': [5], 'Hal': [2, 5, 1], 'WOPR': [6]}"
Hal,LIAR,LIAR,"{'Andy': [5], 'Hal': [5, 1], 'WOPR': [6]}"
WOPR,4,1,"{'WOPR': [4], 'Andy': [3], 'Hal': [2, 3]}"
Andy,3,2,"{'Andy': [3], 'Hal': [2, 3], 'WOPR': [4]}"
Hal,LIAR,LIAR,"{'Andy': [3], 'Hal': [3], 'WOPR': [4]}"
WOPR,2,1,"{'WOPR': [2], 'Andy': [1], 'Hal': [2]}"
Andy,LIAR,LIAR,"{'WOPR': [2], 'Andy': [], 'Hal': [2]}"
Hal,2,1,"{'Hal': [1], 'WOPR': [3]}"
WOPR,3,1,"{'WOPR': [3], 'Hal': [1]}"
Hal,LIAR,LIAR,"{'WOPR': [3], 'Hal': []}"
Allice,6,1,"{'Hal': [2, 2, 4, 5], 'Allice': [1, 4, 6, 2], 'WOPR': [6, 6, 4, 4], 'Andy': [5, 1, 5, 2]}"
WOPR,6,2,"{'Allice': [1, 4, 6, 2], 'WOPR': [6, 6, 4, 4], 'Andy': [5, 1, 5, 2], 'Hal': [2, 2, 4, 5]}"
Andy,5,3,"{'WOPR': [6, 6, 4, 4], 'Andy': [5, 1, 5, 2], 'Hal': [2, 2, 4, 5], 'Allice': [1, 4, 6, 2]}"
Hal,2,4,"{'Andy': [5, 1, 5, 2], 'Hal': [2, 2, 4, 5], 'Allice': [1, 4, 6, 2], 'WOPR': [6, 6, 4, 4]}"
Allice,6,4,"{'Hal': [2, 2, 4, 5], 'Allice': [1, 4, 6, 2], 'WOPR': [6, 6, 4, 4], 'Andy': [5, 1, 5, 2]}"
WOPR,6,5,"{'Allice': [1, 4, 6, 2], 'WOPR': [6, 6, 4, 4], 'Andy': [5, 1, 5, 2], 'Hal': [2, 2, 4, 5]}"
Andy,5,6,"{'WOPR': [6, 6, 4, 4], 'Andy': [5, 1, 5, 2], 'Hal': [2, 2, 4, 5], 'Allice': [1, 4, 6, 2]}"
Hal,2,7,"{'Andy': [5, 1, 5, 2], 'Hal': [2, 2, 4, 5], 'Allice': [1, 4, 6, 2], 'WOPR': [6, 6, 4, 4]}"
Allice,LIAR,LIAR,"{'WOPR': [6, 6, 4, 4], 'Andy': [5, 1, 5, 2], 'Hal': [2, 4, 5], 'Allice': [1, 4, 6, 2]}"
Andy,5,1,"{'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5]}"
Hal,6,1,"{'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5], 'WOPR': [1, 6, 1, 1]}"
Allice,6,2,"{'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5], 'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5]}"
WOPR,1,3,"{'Allice': [3, 6, 4, 5], 'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6]}"
Andy,5,3,"{'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5]}"
Hal,6,3,"{'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5], 'WOPR': [1, 6, 1, 1]}"
Allice,6,4,"{'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5], 'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5]}"
WOPR,1,5,"{'Allice': [3, 6, 4, 5], 'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6]}"
Andy,5,5,"{'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5]}"
Hal,6,5,"{'Andy': [5, 4, 3, 5], 'Hal': [5, 4, 6], 'Allice': [3, 6, 4, 5], 'WOPR': [1, 6, 1, 1]}"
Allice,LIAR,LIAR,"{'WOPR': [1, 6, 1, 1], 'Andy': [5, 4, 3, 5], 'Hal': [4, 6], 'Allice': [3, 6, 4, 5]}"
Andy,4,1,"{'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2], 'Hal': [5, 5], 'Allice': [6, 4, 5, 4]}"
Hal,5,1,"{'Andy': [4, 3, 4, 2], 'Hal': [5, 5], 'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2]}"
Allice,4,2,"{'Hal': [5, 5], 'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2]}"
WOPR,6,2,"{'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2], 'Hal': [5, 5]}"
Andy,4,3,"{'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2], 'Hal': [5, 5], 'Allice': [6, 4, 5, 4]}"
Hal,5,3,"{'Andy': [4, 3, 4, 2], 'Hal': [5, 5], 'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2]}"
Allice,4,4,"{'Hal': [5, 5], 'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2]}"
WOPR,6,4,"{'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2], 'Hal': [5, 5]}"
Andy,4,5,"{'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2], 'Hal': [5, 5], 'Allice': [6, 4, 5, 4]}"
Hal,5,5,"{'Andy': [4, 3, 4, 2], 'Hal': [5, 5], 'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2]}"
Allice,4,6,"{'Hal': [5, 5], 'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2]}"
WOPR,6,6,"{'Allice': [6, 4, 5, 4], 'WOPR': [3, 6, 6, 2], 'Andy': [4, 3, 4, 2], 'Hal': [5, 5]}"
Andy,LIAR,LIAR,"{'Hal': [5, 5], 'Allice': [6, 4, 5, 4], 'WOPR': [6, 6, 2], 'Andy': [4, 3, 4, 2]}"
Allice,2,1,"{'Hal': [6, 3], 'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6]}"
WOPR,5,1,"{'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6], 'Hal': [6, 3]}"
